Source,Target,Weight
56,449,0.2575156700439226
57,766,0.15037263073208776
57,579,0.22699607629137356
58,888,0.1927712075688393
59,659,0.2354128324016985
60,396,0.06718227174266878
60,205,0.17794034895700456
61,723,0.2680668325198416
62,201,0.1713757014773865
62,699,0.23098361826424915
63,529,0.16100119293746468
63,669,0.25813608406141414
64,224,0.22887718710797583
64,730,0.27223503492868334
65,331,0.08999962171769393
65,227,0.17398593463420547
66,82,0.20667537014066753
67,233,0.3192754045886746
68,704,0.15781083484347785
68,542,0.23096444416710668
69,843,0.17916561361137887
70,233,0.1986595293629033
71,97,0.13994195152631425
71,233,0.2158510427622131
71,253,0.24654676545204585
72,134,0.052761481218014716
72,608,0.197674906415449
72,73,0.25091218794323583
74,83,0.15889212903946154
75,86,0.16129247261285348
76,163,0.15945690691307987
76,196,0.30247376547439453
77,563,0.15851131270798086
77,550,0.20036579798968923
77,89,0.22663350743745558
78,194,0.08073166316610349
79,96,0.10957277865705776
79,132,0.11785705986375526
80,167,0.286255248364618
81,441,0.1829310559484134
81,408,0.22109300049730815
81,670,0.23487386883170402
82,284,0.17937265330091257
82,414,0.252128672283538
82,315,0.2829256188593861
83,86,0.06260070196578833
83,96,0.06688583067317112
84,348,0.2739266075867044
84,360,0.2741111511965957
85,538,0.16277558957145202
85,528,0.17130021506896953
85,725,0.25344562362810336
88,155,0.1470079366117594
88,256,0.24728105108970758
89,117,0.25402471624966094
90,572,0.15565612473479962
91,92,0.14710769087111417
92,95,0.14944452900904195
92,527,0.30762304240737365
93,245,0.12891764358458882
93,115,0.2401012620983381
94,291,0.2529025605943612
97,142,0.14802387140806864
97,774,0.17558093132887298
98,148,0.19226685917625727
98,122,0.23689890405459832
101,851,0.19199316443701844
102,107,0.12370589487827179
102,117,0.20265429268563548
103,558,0.23770499607230475
103,572,0.2765062306348028
104,882,0.23112475539337896
104,194,0.29452040940683655
106,207,0.10486627977708206
106,649,0.2160922328378378
107,113,0.252950049282159
108,123,0.09887902916638416
109,896,0.1885273675491784
110,655,0.12368449440394912
111,165,0.13946781093441085
111,340,0.18094996731449345
112,122,0.13802720394103182
113,281,0.2600972812883121
114,526,0.1524782290049661
114,529,0.26849997714190016
115,132,0.2558110795887759
116,214,0.11246645631592823
116,595,0.13727180499147093
116,563,0.2115758020263582
117,126,0.26854369336063716
118,681,0.26905843184138484
119,599,0.17779582441723232
119,721,0.27566262106910433
120,448,0.14081708360385634
120,253,0.17693414898330814
121,809,0.248832928832525
122,126,0.31380438461143406
123,139,0.14457291262180855
124,661,0.16627989331155488
124,444,0.2061798661534287
124,133,0.22534281865526046
125,608,0.2875100369195783
