session_id,region,n_units,n_frames,pca_components,variance_explained,umap_shape,status,csv_file
721123822,VISal,37,900,37.0,0.9999999999999999,900×3,success,VISal_session721123822_umap_3d.csv
721123822,VISam,39,900,39.0,1.0,900×3,success,VISam_session721123822_umap_3d.csv
721123822,VISl,27,900,27.0,1.0,900×3,success,VISl_session721123822_umap_3d.csv
721123822,VISp,41,900,41.0,0.9999999999999999,900×3,success,VISp_session721123822_umap_3d.csv
721123822,VISrl,46,900,46.0,0.9999999999999997,900×3,success,VISrl_session721123822_umap_3d.csv
732592105,VISal,85,900,50.0,0.8759685280071403,900×3,success,VISal_session732592105_umap_3d.csv
732592105,VISl,40,900,40.0,1.0,900×3,success,VISl_session732592105_umap_3d.csv
732592105,VISp,110,900,50.0,0.8244139402015422,900×3,success,VISp_session732592105_umap_3d.csv
732592105,VISpm,66,900,50.0,0.9332016786842385,900×3,success,VISpm_session732592105_umap_3d.csv
732592105,VISrl,64,900,50.0,0.9208248909252692,900×3,success,VISrl_session732592105_umap_3d.csv
732592105,grey,459,900,50.0,0.403648325701563,900×3,success,grey_session732592105_umap_3d.csv
737581020,VISl,22,900,22.0,1.0,900×3,success,VISl_session737581020_umap_3d.csv
737581020,VISmma,16,900,16.0,1.0,900×3,success,VISmma_session737581020_umap_3d.csv
